wm_poi_id	wm_poi_name	primary_second_tag_name	primary_third_tag_name	primary_first_tag_name	poi_brand_id	aor_id	poi_score	delivery_comment_avg_score	food_comment_avg_score
0	302658-52727-042150-121306-b3244-8f2156-713861-433290-ec2719-f1890-9c3489-9b2653-dc3924-431608-272349	0	0	0	0	0	4.66	4.87	4.61
1	253623-653615-4c2815-121306-0d1431-063761-431608-272349	0	0	0	1	5	4.79	4.97	4.82
2	604088-273896-e01010-1f2314-604088-082380-233398-33816-121306-353998-67198-063761-431608-272349	0	1	0	2	3	4.72	4.9	4.76
3	f71647-d32947-c53116-4a3834-121306-251713-a21596-063761-431608-272349	1	2	0	3	1	4.85	4.88	4.85
4	141582-67198-aa3982-c62143-082380-233398-323291-021794-121306-c2857-a8269-52727-881768-431608-272349	1	3	0	4	3	4.71	5	4.74
5	bd3656-1e2402-bd3656-251116-121306-bd3656-1e2402-353998-67198-063761-431608-272349	0	4	0	5	10	4.76	5	4.76
6	0b4049-9f757-d52609-121306-402923-052022-111881-431608-272349	2	未知	1	6	1	4.79	5	4.79
7	402923-fe1605-e92321-d72063-3b4047-121306-102277-9f1640-a93922-dd497-d0128-431608-272349	1	5	0	7	3	4.68	4.87	4.74
8	cb1524-713861-323291-d81534-66151-b43550	0	6	0	8	7	4.65	4.91	4.65
9	a43214-08613-2e1710-121306-79217-cd3847-e21602-431608-272349	0	7	0	9	6	4.88	4.84	4.88
10	492461-8c2935-323291-121306-b43550-323291-641271-323291-5c1479-c3470-323291-901015-5e2725-98183-063761-431608-272349	0	8	0	10	8	4.86	4.93	4.85
11	682644-ac2536-d13754-731761-92165-121306-e52645-ef3399-713861-272349	0	9	0	11	0	4.81	5	4.81
12	043458-ad211-043458-c53116-fc3373-8c2935-121306-db3612-ac854-72226-2f1084-272349	3	10	0	8	8	0	0	0
13	d83957-833800-5f1581-d13754-0b2594-1c925-c34009-552471-d72063-2e1710-1e4086-4a2318-121306-ce4073-043463-432039-431608-272349	0	11	0	8	0	4.75	5	4.75
14	022488-051683-e33426-1c925-961815-121306-031473-742778-f5618-951677-871632-431608-272349	0	12	0	12	10	5	4.88	5
15	022488-051683-e33426-1c925-961815-121306-102277-1f2314-133334-431608-272349	0	12	0	12	10	4.96	5	4.96
16	682644-ac2536-d13754-731761-92165-121306-a22084-5f1581-d0128-431608-272349	0	9	0	11	0	4.83	5	4.85
17	022488-051683-e33426-1c925-961815-121306-251713-a21596-063761-72226-431608-272349	0	12	0	12	1	4.83	4.93	4.87
18	c2733-103047-111881-e41314-6f228	1	13	0	8	8	4.56	4.84	4.6
19	a93922-e2458-67198-121929-121306-5315-823574-f81036-431608-272349	2	未知	1	13	0	4.2	5	4.2
20	a93922-223743-e41314-6f228-121306-a93922-dd497-d0128-431608-272349	1	14	0	14	3	4.62	4.85	4.66
21	083121-863895-5f1581-121306-251713-a21596-063761-431608-272349	1	2	0	15	6	4.85	4.83	4.76
22	4d686-652408-492461-d52609-833800-b43550-ed2191	0	15	0	8	6	4.77	4.9	4.8
23	b4266-9d526-c53116-4a3834-431608	1	2	0	8	0	0	0	0
24	77781-253866-e41314-6f228	1	16	0	8	1	4.96	4.83	5
25	39147-403983-50882-b2193-fc3373-c63006-d72063-121306-251713-a21596-063761-431608-272349	0	17	0	8	1	4.67	4.91	4.7
26	2c3454-6f1663-8a2234-c21871-121306-353998-ef1151-231660-d0128-431608-272349	0	18	0	8	3	4.04	4.56	3.96
27	962462-443811-962462-443811-dd3028-021794-121306-103337-b4266-431608-272349	4	19	0	16	5	4.79	4.87	4.76
28	7f1998-ce4073-042150-f81036-121306-102277-572589-f61200-871632-431608-272349	1	20	0	8	9	4.56	4.88	4.65
29	042150-b12072-5a1952-121306-342036-cd3847-652630-272349	2	未知	1	17	10	4.82	5	4.84
30	5c1479-c3470-de3143-121306-402923-e61012-431608-272349	0	21	0	18	7	4.5	4.89	4.53
31	cd1906-5a537-732469-2e1710	1	22	0	8	5	0	0	0
32	492461-8a2234-931140-121306-a93922-dd497-d0128-431608-272349	1	23	0	19	3	4.73	4.89	4.73
33	b0912-10905-d32947-e41314-6f228-e9638-323291-b2193-fc3373-d72063	0	17	0	8	9	4.3	4.6	4.5
34	8d3237-98742-1d553-c53116-4a3834-121306-c02692-66812-713861-431608-272349	1	2	0	20	5	5	5	5
35	e01010-851875-be1093-d4496-5f38-b43550-863895-121306-352708-cf2679-ed213-431608-272349	1	24	0	8	4	3.97	4.76	3.97
36	8c3040-621482-aa3982-7e1325-48690-e0770-1d3469	3	25	0	8	1	0	0	0
37	87965-082380-87965-233398-082380-233398-323291-021794-121306-79217-cd3847-e21602-431608-272349	1	3	0	21	4	4.98	5	5
38	cf2679-2e1710-123068-111881-121306-a93922-dd497-d0128-431608-272349	1	2	0	22	3	4.04	4.75	4.16
39	342036-b51328-6d3428-fd1051-c3176-d32947-43819-6d3428-c62143-ae1323-f33446-6d3428-121306-223664-d91077-8c2935-431608-272349	0	26	0	8	2	4.88	4.98	4.86
40	042150-b12072-5a1952-121306-402923-a21596-063761-272349	2	未知	1	17	7	4.62	5	4.62
41	843204-381655-082380-233398-33816-121306-d72077-8f2156-713861-431608-272349	0	1	0	23	5	4.57	4.86	4.57
