avg_pay_amt	avg_pay_amt_weekends
70.0	70.0
14.5	14.5
14.5	14.5
14.5	14.5
32.5	32.5
14.5	14.5
14.5	14.5
32.5	14.5
32.5	14.5
14.5	14.5
70.0	57.0
57.0	57.0
14.5	14.5
42.5	42.5
70.0	42.5
70.0	70.0
70.0	70.0
42.5	42.5
14.5	14.5
57.0	57.0
70.0	70.0
42.5	42.5
32.5	32.5
32.5	42.5
42.5	14.5
14.5	57.0
57.0	57.0
57.0	57.0
70.0	70.0
32.5	32.5
42.5	42.5
57.0	57.0
57.0	70.0
57.0	70.0
57.0	57.0
14.5	14.5
57.0	57.0
14.5	14.5
32.5	32.5
14.5	14.5
42.5	42.5
70.0	70.0
70.0	70.0
14.5	14.5
32.5	42.5
14.5	14.5
42.5	57.0
14.5	14.5
57.0	57.0
14.5	14.5
42.5	42.5
42.5	42.5
14.5	14.5
32.5	14.5
42.5	42.5
42.5	42.5
70.0	70.0
32.5	32.5
14.5	14.5
14.5	14.5
70.0	70.0
32.5	32.5
57.0	57.0
57.0	57.0
14.5	14.5
14.5	14.5
14.5	14.5
42.5	42.5
42.5	42.5
42.5	42.5
57.0	57.0
14.5	42.5
57.0	57.0
70.0	70.0
70.0	70.0
57.0	42.5
70.0	70.0
32.5	32.5
14.5	14.5
42.5	57.0
14.5	14.5
14.5	14.5
70.0	70.0
57.0	70.0
14.5	14.5
14.5	14.5
42.5	42.5
42.5	57.0
32.5	32.5
32.5	32.5
57.0	57.0
57.0	42.5
14.5	14.5
57.0	57.0
70.0	70.0
42.5	42.5
42.5	42.5
42.5	42.5
32.5	32.5
32.5	32.5
32.5	32.5
32.5	42.5
57.0	57.0
70.0	70.0
70.0	70.0
42.5	42.5
70.0	70.0
14.5	14.5
57.0	57.0
70.0	70.0
70.0	70.0
14.5	14.5
42.5	42.5
42.5	42.5
70.0	70.0
57.0	57.0
42.5	42.5
42.5	42.5
70.0	57.0
32.5	32.5
42.5	42.5
57.0	57.0
14.5	14.5
14.5	14.5
42.5	42.5
14.5	14.5
70.0	70.0
57.0	57.0
14.5	14.5
32.5	42.5
42.5	32.5
42.5	42.5
70.0	70.0
70.0	57.0
70.0	70.0
42.5	42.5
32.5	32.5
57.0	57.0
70.0	57.0
42.5	42.5
14.5	14.5
32.5	32.5
14.5	14.5
42.5	42.5
14.5	14.5
14.5	14.5
57.0	57.0
57.0	57.0
57.0	70.0
57.0	70.0
14.5	14.5
70.0	70.0
42.5	42.5
57.0	57.0
32.5	32.5
70.0	70.0
70.0	70.0
32.5	32.5
32.5	42.5
32.5	32.5
42.5	42.5
14.5	14.5
57.0	42.5
14.5	14.5
42.5	42.5
70.0	70.0
57.0	57.0
32.5	32.5
14.5	14.5
70.0	70.0
57.0	57.0
57.0	70.0
14.5	14.5
42.5	57.0
42.5	42.5
32.5	32.5
42.5	57.0
14.5	14.5
57.0	57.0
57.0	57.0
57.0	57.0
42.5	42.5
14.5	14.5
14.5	14.5
14.5	14.5
70.0	42.5
57.0	57.0
70.0	57.0
42.5	42.5
70.0	70.0
70.0	57.0
32.5	32.5
42.5	32.5
14.5	14.5
57.0	57.0
42.5	42.5
14.5	14.5
14.5	14.5
14.5	14.5
32.5	32.5
32.5	32.5
42.5	32.5
70.0	70.0
70.0	70.0
57.0	57.0
57.0	57.0
57.0	70.0
42.5	42.5
32.5	32.5
57.0	57.0
14.5	14.5
42.5	42.5
14.5	14.5
42.5	42.5
57.0	57.0
42.5	42.5
32.5	42.5
42.5	42.5
70.0	70.0
14.5	14.5
57.0	57.0
42.5	42.5
14.5	14.5
57.0	57.0
14.5	14.5
70.0	70.0
57.0	57.0
32.5	42.5
57.0	57.0
42.5	42.5
32.5	32.5
14.5	14.5
57.0	70.0
14.5	14.5
32.5	32.5
32.5	14.5
70.0	70.0
57.0	57.0
70.0	70.0
14.5	14.5
70.0	70.0
57.0	57.0
42.5	42.5
42.5	42.5
14.5	14.5
32.5	32.5
32.5	32.5
42.5	42.5
70.0	70.0
32.5	32.5
14.5	14.5
14.5	14.5
70.0	57.0
14.5	14.5
14.5	14.5
70.0	70.0
14.5	14.5
14.5	14.5
42.5	42.5
57.0	70.0
42.5	57.0
70.0	70.0
57.0	42.5
32.5	32.5
57.0	70.0
70.0	70.0
42.5	42.5
70.0	70.0
32.5	32.5
32.5	42.5
42.5	42.5
70.0	70.0
57.0	57.0
70.0	70.0
57.0	57.0
14.5	14.5
57.0	57.0
14.5	14.5
14.5	14.5
32.5	32.5
57.0	57.0
42.5	42.5
14.5	14.5
32.5	32.5
57.0	70.0
