new_user_id	adgroup_id
0	0
0	1
0	21406
0	42836
0	46601
0	1313
0	65987
0	72530
0	78490
1	2
1	3
1	8018
1	26114
1	9013
1	22248
1	8043
1	17703
2	4
2	5
2	4177
2	4192
2	1202
2	50750
3	6
3	42370
4	7
5	8
5	36
5	90
5	4319
5	3906
5	20919
5	2256
5	23188
5	3185
5	23278
5	23829
5	6894
5	16933
5	4302
5	8052
5	27371
5	8012
5	5811
5	41
5	20
5	31024
5	31025
5	13323
5	20919
5	31058
5	31060
5	1267
5	3185
5	14777
5	13323
5	47
5	15971
5	20919
5	27
5	33349
6	9
6	6321
6	6386
6	14554
6	14555
6	14517
6	42890
6	27096
6	24802
6	20502
6	42941
6	44797
6	44829
6	60824
6	67223
6	67230
6	67801
6	25396
6	68457
6	33211
7	10
7	11
7	12
7	13
7	343
7	1328
7	5396
7	7450
7	8860
7	8969
7	4894
7	14402
7	28323
7	27387
7	10228
7	4576
7	33662
7	7920
7	1633
7	80169
7	3805
7	11129
8	14
8	961
8	1083
8	1140
8	7108
8	10711
8	11654
8	18412
8	12994
8	157
8	4737
9	15
10	16
10	9568
10	28299
10	55138
11	17
11	249
11	250
11	290
11	581
11	43855
11	43880
11	56562
11	57920
11	61036
11	61076
11	63740
11	53024
11	17
11	74112
11	17
11	74205
11	61036
11	78720
12	18
12	19
12	20
12	21
12	59
12	27
12	199
12	156
12	200
12	8454
12	14090
12	15447
12	15448
12	4392
12	4295
12	4804
13	22
13	23
13	24
13	25
13	26
13	4617
13	29909
13	30048
14	27
14	33067
14	37
14	34235
14	4050
14	18
15	28
15	25724
15	29188
15	33736
15	524
15	35022
15	46065
15	46066
15	46790
16	29
16	4602
16	6922
16	23121
16	44140
16	44612
16	6922
16	47536
16	55192
16	38838
16	11215
16	23121
16	65695
16	65696
16	67837
16	24598
16	29898
16	7935
16	19669
16	72662
16	72663
16	6712
16	1070
16	68158
17	30
17	70
17	73
17	75
17	19847
17	27676
17	26688
17	6149
17	28012
17	24173
17	6430
17	8356
17	1131
17	1633
17	6286
17	46350
17	1207
18	31
18	28536
18	2429
18	6117
18	37034
18	37052
18	42472
18	6367
18	44189
18	50087
18	10182
18	50102
18	50103
18	14602
18	58695
18	58949
18	33004
18	29394
18	59005
18	15883
18	62795
18	1207
18	62796
18	2363
18	1785
18	63098
18	5883
18	1749
18	44388
18	75782
19	32
19	481
19	482
19	2907
19	36982
19	36540
19	37661
19	38207
19	38303
19	58958
19	58959
19	58960
19	58961
19	59033
19	59346
19	59347
19	45643
19	63756
19	76188
19	33635
19	25954
19	67877
19	81591
19	926
19	81778
20	33
20	8532
20	14102
20	18933
20	278
20	7579
20	198
20	58423
21	34
21	1613
21	23278
21	72069
21	25575
22	35
22	173
22	174
22	10902
22	10903
22	7279
22	28925
22	28926
22	29000
22	29001
22	29040
22	36235
22	36322
22	4014
22	28255
22	35648
22	16755
22	27938
22	63992
22	50270
23	37
23	38
24	39
24	40
24	110
24	111
24	130
24	237
24	39
24	37917
24	37918
24	37957
24	37958
24	48770
24	48771
24	48772
24	27527
24	9190
24	19975
25	41
25	33113
25	676
25	15144
26	42
26	4011
26	10269
26	33806
26	16380
26	39803
26	39804
26	39814
26	7011
26	252
26	28955
26	37919
26	11504
26	49522
26	49523
26	34397
26	56353
26	10269
26	32446
26	25073
26	10269
26	50307
27	43
27	18269
27	4909
27	21124
27	1908
27	12712
27	53375
27	17667
27	55183
28	44
28	17483
28	17484
28	17485
29	45
29	46
29	17029
29	27561
29	3632
29	10312
29	8192
29	34469
29	34470
29	34499
30	47
30	5563
30	5675
30	5676
30	6750
30	27733
30	6070
30	5676
30	55622
30	59190
30	27733
30	6750
30	61713
30	7399
31	48
31	49
31	50
31	141
31	16752
31	41890
31	10491
31	8842
31	11520
31	3877
31	76516
31	772
32	51
32	1099
32	1053
32	20327
32	7980
32	27559
32	2669
33	52
34	53
34	32855
34	34845
34	14220
34	610
34	46203
34	32774
34	3853
34	57862
35	54
35	55
35	56
35	225
35	56
35	55
35	64008
35	798
36	57
36	72303
37	58
38	60
38	144
38	293
38	294
38	2746
38	2747
38	2767
38	8152
38	18203
38	18204
38	20415
38	20416
38	20475
38	20498
38	20537
38	24962
38	3044
38	24993
38	34247
38	34248
38	34278
38	35713
38	35714
38	35731
38	35732
38	36884
38	36919
38	38694
38	38695
38	2550
38	24962
