all_avg_price	period_avg_price
134.21	155.32
180.52	167.39
172.86	206.88
130.29	159.25
196.50	261.67
188.78	173.78
89.03	85.34
136.53	126.62
86.95	58.35
201.33	181.67
351.70	404.67
196.23	83.70
64.15	58.64
651.98	781.78
49.93	53.13
3860.01	4248.10
206.74	224.62
120.45	131.33
575.52	873.87
93.72	98.84
271.00	286.30
174.03	131.94
900.21	1064.91
109.61	80.83
293.22	236.79
256.15	230.75
194.55	159.03
204.92	150.53
479.11	266.00
220.65	227.83
78.08	80.84
214.12	211.49
291.91	237.09
146.79	89.00
240.00	223.82
189.54	177.30
148.52	33.45
168.88	193.27
79.39	77.73
235.45	261.88
83.44	79.97
108.07	106.24
1497.76	1254.19
144.00	163.35
150.44	148.58
463.00	451.33
478.94	286.40
53.56	63.45
269.47	280.06
53.92	37.34
779.62	366.53
283.36	296.29
1139.18	285.80
862.67	863.14
292.09	292.25
114.57	129.75
2062.80	2341.08
1001.79	1221.39
263.61	282.25
459.17	524.67
290.73	302.74
504.88	304.33
263.37	262.89
368.90	223.93
510.14	333.25
76.00	69.33
268.39	211.84
883.13	833.41
121.46	123.92
234.17	229.87
240.96	247.14
85.93	61.27
655.17	1165.33
98.48	110.00
196.09	272.23
306.51	284.24
72.12	73.60
220.27	208.43
89.18	87.73
3626.00	1683.86
416.45	129.24
320.27	466.65
186.14	214.76
279.44	81.40
189.68	78.25
202.43	358.33
155.50	95.33
211.39	215.70
121.66	119.25
136.60	159.86
693.89	603.33
1473.89	1291.17
101.97	125.50
256.08	302.25
267.12	243.50
389.12	541.40
313.82	321.00
1719.16	2651.44
365.00	397.83
153.40	184.61
88.81	41.44
97.40	98.75
349.09	324.75
724.83	611.41
176.27	242.30
437.88	168.76
201.99	239.33
175.29	173.83
425.55	1069.00
50.20	38.51
101.89	97.73
191.30	206.86
568.27	656.00
64.41	69.62
579.00	666.75
202.69	136.20
83.52	87.95
113.83	103.33
52.99	56.07
199.76	215.01
390.46	416.58
107.68	122.79
99.96	39.24
120.79	96.02
61.00	29.89
208.72	207.78
896.25	1265.33
708.51	778.04
374.13	380.95
306.71	253.00
542.12	606.40
240.56	294.76
290.55	300.08
719.22	486.50
267.57	288.25
203.14	168.12
278.21	195.85
220.03	299.71
93.29	102.27
129.30	151.72
114.52	116.36
161.20	152.43
369.91	535.43
105.99	116.66
1013.30	1035.33
483.55	144.13
52.16	60.75
612.60	751.00
181.20	234.46
136.25	114.06
269.44	372.40
577.50	356.75
366.48	420.82
192.02	174.74
407.11	372.07
165.80	189.67
286.85	265.04
109.57	105.27
277.12	282.20
430.36	457.46
264.38	267.84
69.01	77.08
845.00	825.30
161.93	216.92
152.41	148.19
68.64	59.64
245.35	242.40
167.30	84.16
284.97	86.22
271.97	252.50
376.62	453.80
514.11	608.17
52.47	29.68
311.07	308.80
66.03	92.70
307.04	315.50
379.78	600.88
468.19	528.15
278.19	282.80
326.46	291.56
151.59	117.09
149.49	119.90
72.72	42.19
249.18	284.50
271.06	229.75
382.34	336.45
556.31	567.69
208.00	304.86
376.46	352.44
182.74	155.18
201.39	265.66
5276.37	4875.69
204.44	218.00
473.59	406.41
275.07	277.85
552.43	859.75
87.97	86.93
202.43	146.00
287.41	287.91
245.40	253.29
205.67	226.25
377.69	327.88
1396.78	1430.20
542.87	750.47
385.66	191.22
449.69	365.56
128.96	152.60
233.91	280.69
624.46	650.00
225.88	208.66
617.85	802.14
355.96	368.40
502.20	632.38
83.76	58.46
216.03	251.69
112.55	73.01
210.21	322.00
64.18	41.12
414.52	374.49
175.75	193.38
105.91	105.01
191.41	152.56
70.06	82.69
105.27	103.99
227.56	226.15
271.83	402.67
1152.21	1240.79
211.27	227.62
180.59	172.58
444.80	457.00
2436.20	3175.67
270.50	225.80
536.71	610.33
2745.50	2411.94
185.24	143.56
56.80	80.33
79.13	65.28
81.13	42.97
517.92	423.93
166.56	136.22
140.19	156.75
101.06	108.35
361.69	215.38
179.63	195.40
125.90	109.42
153.73	159.09
92.20	76.15
43.24	29.26
374.50	384.75
72.59	75.67
241.89	308.15
142.71	144.42
1713.59	2124.24
282.87	278.20
201.29	205.82
98.09	110.20
288.27	259.50
34.71	33.36
228.39	240.06
162.00	65.00
170.11	172.30
189.57	202.57
138.65	191.67
291.10	249.29
327.47	304.61
166.35	144.98
169.88	197.16
182.09	188.69
269.43	313.73
185.72	162.54
228.96	243.33
49.86	57.55
231.69	222.57
126.34	129.75
250.67	159.00
203.29	137.67
35.36	14.45
409.09	518.76
310.67	206.00
653.47	783.25
2248.43	2585.75
52.99	67.09
155.11	151.33
137.90	191.67
279.35	299.09
188.28	180.71
53.55	58.30
185.73	172.30
167.83	120.32
207.49	207.23
124.63	208.67
456.09	651.76
474.47	457.22
257.76	185.69
307.57	305.25
1878.29	1646.41
1256.53	1772.77
189.82	215.16
15862.42	21367.06
80.22	78.14
2311.54	2739.40
85.50	78.00
304.45	328.00
514.94	665.80
174.44	133.55
371.88	493.09
132.33	124.32
513.92	466.75
257.12	245.68
593.12	1067.64
256.86	230.75
152.70	150.01
93.52	108.64
267.85	267.42
2957.78	3017.00
410.42	490.02
108.62	124.33
253.12	152.00
87.96	94.46
120.78	123.06
119.01	109.77
289.94	295.16
389.00	434.88
144.18	158.13
245.45	249.92
378.11	471.08
101.45	113.85
324.18	344.73
66.03	58.97
149.80	162.14
312.14	292.75
315.48	390.74
133.21	139.98
498.45	493.53
175.72	192.17
120.35	135.20
363.52	445.92
34.86	55.57
495.33	231.33
246.70	336.67
46.92	43.15
96.03	108.07
130.95	129.59
109.91	75.83
515.21	621.62
413.61	499.00
245.47	181.99
329.41	278.38
85.59	81.94
180.06	173.43
1297.81	1022.37
290.70	297.90
119.11	103.60
209.63	204.72
87.73	74.78
127.02	211.83
329.56	329.17
281.74	278.58
641.68	718.71
173.38	115.30
386.86	349.28
123.12	87.30
236.50	225.80
1047.03	1593.06
78.00	83.50
259.60	358.40
140.51	137.35
693.65	941.36
698.32	594.09
274.24	287.07
229.75	77.25
134.43	126.03
86.59	65.35
1017.33	299.00
223.58	248.12
330.96	358.61
111.09	88.16
98.53	104.76
119.06	131.75
519.00	130.50
340.51	34.33
