all_avg_price	period_avg_price
134.21	56.83
180.52	192.45
172.86	118.44
130.29	91.67
196.50	131.33
188.78	281.30
89.03	105.30
136.53	176.17
86.95	128.25
201.33	211.17
351.70	272.25
196.23	365.03
64.15	78.33
651.98	219.33
49.93	46.27
3860.01	2437.00
206.74	155.11
120.45	85.98
575.52	120.88
93.72	70.67
271.00	240.40
174.03	223.13
900.21	296.33
109.61	148.00
293.22	352.78
256.15	294.25
194.55	336.67
204.92	354.50
479.11	905.33
220.65	203.40
78.08	73.18
214.12	217.80
291.91	415.25
146.79	190.12
240.00	284.50
189.54	230.33
148.52	214.27
168.88	158.43
79.39	84.97
235.45	163.71
83.44	92.67
108.07	123.33
1497.76	1996.48
144.00	79.49
150.44	156.50
463.00	474.67
478.94	719.62
53.56	45.65
269.47	239.47
53.92	92.60
779.62	1493.14
283.36	191.00
1139.18	5771.80
862.67	861.14
292.09	291.67
114.57	94.33
2062.80	1033.16
1001.79	167.31
263.61	226.33
459.17	328.17
290.73	263.29
504.88	625.20
263.37	268.33
368.90	683.00
510.14	746.00
76.00	82.67
268.39	400.33
883.13	1145.93
121.46	117.08
234.17	251.36
240.96	227.22
85.93	108.83
655.17	145.00
98.48	81.20
196.09	94.57
306.51	327.47
72.12	64.47
220.27	241.00
89.18	104.13
3626.00	4861.91
416.45	1182.33
320.27	137.29
186.14	114.58
279.44	626.00
189.68	273.25
202.43	85.50
155.50	215.67
211.39	191.60
121.66	124.08
136.60	82.33
693.89	875.00
1473.89	1839.33
101.97	70.60
256.08	163.75
267.12	290.75
389.12	135.33
313.82	309.71
1719.16	520.50
365.00	315.75
153.40	44.17
88.81	171.70
97.40	90.05
349.09	414.00
724.83	1084.00
176.27	136.65
437.88	706.99
201.99	157.18
175.29	176.94
425.55	184.25
50.20	71.91
101.89	116.88
191.30	155.00
568.27	217.33
64.41	29.67
579.00	491.25
202.69	291.33
83.52	72.45
113.83	124.33
52.99	44.68
199.76	136.45
390.46	334.98
107.68	81.99
99.96	221.40
120.79	163.26
61.00	102.47
208.72	209.83
896.25	674.80
708.51	430.40
374.13	351.98
306.71	378.33
542.12	434.98
240.56	159.27
290.55	197.10
719.22	905.40
267.57	240.00
203.14	249.83
278.21	406.33
220.03	140.34
93.29	75.33
129.30	105.27
114.52	104.89
161.20	181.67
369.91	138.18
105.99	50.00
1013.30	991.27
483.55	915.54
52.16	33.77
612.60	533.51
181.20	136.82
136.25	225.00
269.44	140.75
577.50	1166.17
366.48	185.33
192.02	254.20
407.11	529.75
165.80	141.93
286.85	319.56
109.57	125.33
277.12	268.67
430.36	365.00
264.38	259.10
69.01	20.60
845.00	884.40
161.93	67.66
152.41	163.67
68.64	79.13
245.35	249.57
167.30	271.22
284.97	788.49
271.97	297.93
376.62	248.00
514.11	326.00
52.47	113.27
311.07	319.75
66.03	39.36
307.04	245.00
379.78	180.79
468.19	208.33
278.19	268.50
326.46	405.00
151.59	214.83
149.49	258.00
72.72	103.24
249.18	155.00
271.06	326.15
382.34	468.00
556.31	507.00
208.00	111.14
376.46	430.50
182.74	228.67
201.39	30.00
5276.37	7413.33
204.44	177.33
473.59	574.35
275.07	267.67
552.43	142.67
87.97	88.75
202.43	277.67
287.41	285.00
245.40	221.74
205.67	193.91
377.69	477.33
1396.78	1355.00
542.87	127.67
385.66	597.78
449.69	639.00
128.96	100.60
233.91	171.53
624.46	496.75
225.88	255.41
617.85	187.83
355.96	273.00
502.20	111.67
83.76	121.69
216.03	123.30
112.55	166.47
210.21	66.48
