all_avg_price	first_seven_avg_price	last_three_avg_price
134.21	155.32	56.83
180.52	167.39	192.45
172.86	206.88	118.44
130.29	159.25	91.67
196.5	261.67	131.33
188.78	173.78	281.3
89.03	85.34	105.3
136.53	126.62	176.17
86.95	58.35	128.25
201.33	181.67	211.17
351.7	404.67	272.25
196.23	83.7	365.03
64.15	58.64	78.33
651.98	781.78	219.33
49.93	53.13	46.27
3860.01	4248.1	2437.0
206.74	224.62	155.11
120.45	131.33	85.98
575.52	873.87	120.88
93.72	98.84	70.67
271.0	286.3	240.4
174.03	131.94	223.13
900.21	1064.91	296.33
109.61	80.83	148.0
293.22	236.79	352.78
256.15	230.75	294.25
194.55	159.03	336.67
204.92	150.53	354.5
479.11	266.0	905.33
220.65	227.83	203.4
78.08	80.84	73.18
214.12	211.49	217.8
291.91	237.09	415.25
146.79	89.0	190.12
240.0	223.82	284.5
189.54	177.3	230.33
148.52	33.45	214.27
168.88	193.27	158.43
79.39	77.73	84.97
235.45	261.88	163.71
83.44	79.97	92.67
108.07	106.24	123.33
1497.76	1254.19	1996.48
144.0	163.35	79.49
150.44	148.58	156.5
463.0	451.33	474.67
478.94	286.4	719.62
53.56	63.45	45.65
269.47	280.06	239.47
53.92	37.34	92.6
779.62	366.53	1493.14
283.36	296.29	191.0
1139.18	285.8	5771.8
862.67	863.14	861.14
292.09	292.25	291.67
114.57	129.75	94.33
2062.8	2341.08	1033.16
1001.79	1221.39	167.31
263.61	282.25	226.33
459.17	524.67	328.17
290.73	302.74	263.29
504.88	304.33	625.2
263.37	262.89	268.33
368.9	223.93	683.0
510.14	333.25	746.0
76.0	69.33	82.67
268.39	211.84	400.33
883.13	833.41	1145.93
121.46	123.92	117.08
234.17	229.87	251.36
240.96	247.14	227.22
85.93	61.27	108.83
655.17	1165.33	145.0
98.48	110.0	81.2
196.09	272.23	94.57
306.51	284.24	327.47
72.12	73.6	64.47
220.27	208.43	241.0
89.18	87.73	104.13
3626.0	1683.86	4861.91
416.45	129.24	1182.33
320.27	466.65	137.29
186.14	214.76	114.58
279.44	81.4	626.0
189.68	78.25	273.25
202.43	358.33	85.5
155.5	95.33	215.67
211.39	215.7	191.6
121.66	119.25	124.08
136.6	159.86	82.33
693.89	603.33	875.0
1473.89	1291.17	1839.33
101.97	125.5	70.6
256.08	302.25	163.75
267.12	243.5	290.75
389.12	541.4	135.33
313.82	321.0	309.71
1719.16	2651.44	520.5
365.0	397.83	315.75
153.4	184.61	44.17
88.81	41.44	171.7
97.4	98.75	90.05
349.09	324.75	414.0
724.83	611.41	1084.0
176.27	242.3	136.65
437.88	168.76	706.99
201.99	239.33	157.18
175.29	173.83	176.94
425.55	1069.0	184.25
50.2	38.51	71.91
101.89	97.73	116.88
191.3	206.86	155.0
568.27	656.0	217.33
64.41	69.62	29.67
579.0	666.75	491.25
202.69	136.2	291.33
83.52	87.95	72.45
113.83	103.33	124.33
52.99	56.07	44.68
199.76	215.01	136.45
390.46	416.58	334.98
107.68	122.79	81.99
99.96	39.24	221.4
120.79	96.02	163.26
61.0	29.89	102.47
208.72	207.78	209.83
896.25	1265.33	674.8
708.51	778.04	430.4
374.13	380.95	351.98
306.71	253.0	378.33
542.12	606.4	434.98
240.56	294.76	159.27
290.55	300.08	197.1
719.22	486.5	905.4
267.57	288.25	240.0
203.14	168.12	249.83
278.21	195.85	406.33
220.03	299.71	140.34
93.29	102.27	75.33
129.3	151.72	105.27
114.52	116.36	104.89
161.2	152.43	181.67
369.91	535.43	138.18
105.99	116.66	50.0
1013.3	1035.33	991.27
483.55	144.13	915.54
52.16	60.75	33.77
612.6	751.0	533.51
181.2	234.46	136.82
136.25	114.06	225.0
269.44	372.4	140.75
577.5	356.75	1166.17
366.48	420.82	185.33
192.02	174.74	254.2
407.11	372.07	529.75
165.8	189.67	141.93
286.85	265.04	319.56
109.57	105.27	125.33
277.12	282.2	268.67
430.36	457.46	365.0
264.38	267.84	259.1
69.01	77.08	20.6
845.0	825.3	884.4
161.93	216.92	67.66
152.41	148.19	163.67
68.64	59.64	79.13
245.35	242.4	249.57
167.3	84.16	271.22
284.97	86.22	788.49
271.97	252.5	297.93
376.62	453.8	248.0
514.11	608.17	326.0
52.47	29.68	113.27
311.07	308.8	319.75
66.03	92.7	39.36
307.04	315.5	245.0
379.78	600.88	180.79
468.19	528.15	208.33
278.19	282.8	268.5
326.46	291.56	405.0
151.59	117.09	214.83
149.49	119.9	258.0
72.72	42.19	103.24
249.18	284.5	155.0
271.06	229.75	326.15
382.34	336.45	468.0
556.31	567.69	507.0
208.0	304.86	111.14
376.46	352.44	430.5
182.74	155.18	228.67
201.39	265.66	30.0
5276.37	4875.69	7413.33
204.44	218.0	177.33
473.59	406.41	574.35
275.07	277.85	267.67
552.43	859.75	142.67
87.97	86.93	88.75
202.43	146.0	277.67
287.41	287.91	285.0
245.4	253.29	221.74
205.67	226.25	193.91
377.69	327.88	477.33
1396.78	1430.2	1355.0
542.87	750.47	127.67
385.66	191.22	597.78
449.69	365.56	639.0
128.96	152.6	100.6
233.91	280.69	171.53
624.46	650.0	496.75
225.88	208.66	255.41
617.85	802.14	187.83
355.96	368.4	273.0
502.2	632.38	111.67
83.76	58.46	121.69
216.03	251.69	123.3
112.55	73.01	166.47
210.21	322.0	66.48
64.18	41.12	93.0
414.52	374.49	473.11
175.75	193.38	118.45
105.91	105.01	107.7
191.41	152.56	300.2
70.06	82.69	40.6
105.27	103.99	111.67
227.56	226.15	231.58
271.83	402.67	141.0
1152.21	1240.79	620.75
211.27	227.62	167.67
180.59	172.58	190.2
444.8	457.0	425.28
2436.2	3175.67	1327.0
270.5	225.8	345.0
536.71	610.33	481.5
2745.5	2411.94	3113.58
185.24	143.56	289.45
56.8	80.33	33.27
79.13	65.28	100.52
81.13	42.97	163.82
517.92	423.93	637.55
166.56	136.22	207.0
140.19	156.75	123.62
101.06	108.35	66.45
361.69	215.38	508.0
179.63	195.4	159.92
125.9	109.42	179.47
153.73	159.09	113.86
92.2	76.15	124.3
43.24	29.26	75.87
374.5	384.75	354.0
72.59	75.67	61.83
241.89	308.15	142.5
142.71	144.42	141.51
1713.59	2124.24	317.4
282.87	278.2	287.54
201.29	205.82	186.17
98.09	110.2	77.9
288.27	259.5	322.8
34.71	33.36	36.4
228.39	240.06	195.33
162.0	65.0	258.99
170.11	172.3	157.4
189.57	202.57	76.93
138.65	191.67	85.63
291.1	249.29	345.78
327.47	304.61	385.89
166.35	144.98	192.0
169.88	197.16	142.6
182.09	188.69	140.33
269.43	313.73	199.83
185.72	162.54	263.0
228.96	243.33	113.97
49.86	57.55	8.83
231.69	222.57	270.0
126.34	129.75	121.22
250.67	159.0	449.29
203.29	137.67	252.5
35.36	14.45	52.08
409.09	518.76	226.3
310.67	206.0	415.33
653.47	783.25	134.33
2248.43	2585.75	1798.67
52.99	67.09	22.77
155.11	151.33	162.67
137.9	191.67	114.86
279.35	299.09	230.0
188.28	180.71	208.12
53.55	58.3	41.69
185.73	172.3	263.6
167.83	120.32	215.34
207.49	207.23	209.2
124.63	208.67	40.59
456.09	651.76	215.26
474.47	457.22	507.25
257.76	185.69	365.87
307.57	305.25	312.2
1878.29	1646.41	2728.5
1256.53	1772.77	445.29
189.82	215.16	150.0
15862.42	21367.06	449.4
80.22	78.14	98.27
2311.54	2739.4	885.33
85.5	78.0	93.0
304.45	328.0	241.67
514.94	665.8	263.5
174.44	133.55	210.79
371.88	493.09	105.2
132.33	124.32	156.33
513.92	466.75	608.25
257.12	245.68	273.85
593.12	1067.64	118.61
256.86	230.75	291.67
152.7	150.01	158.75
93.52	108.64	80.73
267.85	267.42	268.7
2957.78	3017.0	2878.81
410.42	490.02	171.63
108.62	124.33	92.91
253.12	152.0	421.67
87.96	94.46	71.05
120.78	123.06	114.4
119.01	109.77	180.67
289.94	295.16	260.33
389.0	434.88	297.25
144.18	158.13	111.22
245.45	249.92	230.53
378.11	471.08	192.17
101.45	113.85	47.24
324.18	344.73	206.0
66.03	58.97	77.5
149.8	162.14	121.0
312.14	292.75	338.0
315.48	390.74	197.68
133.21	139.98	125.6
498.45	493.53	512.0
175.72	192.17	155.98
120.35	135.2	86.92
363.52	445.92	332.62
34.86	55.57	5.86
495.33	231.33	759.33
246.7	336.67	208.14
46.92	43.15	76.12
96.03	108.07	74.36
130.95	129.59	142.86
109.91	75.83	144.0
515.21	621.62	373.33
413.61	499.0	271.3
245.47	181.99	334.36
329.41	278.38	404.54
85.59	81.94	91.67
180.06	173.43	207.9
1297.81	1022.37	2045.43
290.7	297.9	272.98
119.11	103.6	138.5
209.63	204.72	234.2
87.73	74.78	105.0
127.02	211.83	42.2
329.56	329.17	330.33
281.74	278.58	289.43
641.68	718.71	237.25
173.38	115.3	260.5
386.86	349.28	527.75
123.12	87.3	230.6
236.5	225.8	244.14
1047.03	1593.06	282.6
78.0	83.5	70.67
259.6	358.4	160.8
140.51	137.35	156.33
693.65	941.36	115.67
698.32	594.09	929.12
274.24	287.07	252.87
229.75	77.25	382.25
134.43	126.03	156.02
86.59	65.35	140.67
1017.33	299.0	1735.67
223.58	248.12	174.47
330.96	358.61	234.21
111.09	88.16	139.75
98.53	104.76	86.05
119.06	131.75	106.38
519.0	130.5	1037.0
340.51	34.33	570.14
203.78	169.88	264.8
228.93	244.73	179.29
93.76	125.78	53.75
225.87	111.67	282.97
226.17	235.67	205.83
315.86	408.25	204.99
185.41	219.12	95.53
131.87	145.8	104.0
331.33	100.19	735.83
134.51	140.78	120.41
101.1	97.97	106.1
702.08	706.66	674.6
302.05	129.79	428.99
147.71	150.65	134.97
209.85	138.96	328.0
196.93	208.25	190.46
83.24	90.11	71.8
148.11	163.29	130.41
495.43	403.87	605.3
214.52	93.33	305.41
67.03	36.87	114.41
356.96	310.76	435.5
124.76	151.66	84.39
550.3	971.04	213.71
266.99	242.65	292.85
36.23	66.97	5.5
186.88	255.0	152.82
274.43	267.1	287.47
301.83	198.87	353.32
120.14	49.0	173.5
232.26	219.83	303.75
321.75	355.46	175.67
289.23	337.3	129.0
188.92	208.96	100.74
53.36	48.68	64.27
64.4	45.88	88.36
207.51	176.41	304.47
289.09	422.5	75.64
167.6	132.0	250.67
364.75	344.38	405.5
152.76	153.81	146.97
112.96	119.74	94.12
208.58	205.76	215.43
183.67	204.0	163.33
330.36	268.5	495.33
61.65	56.04	89.67
139.09	166.56	75.0
160.2	154.8	193.95
480.93	567.78	415.8
44.14	42.17	46.1
194.81	273.93	115.7
770.0	1472.17	243.38
138.92	138.36	139.8
370.88	208.6	641.33
168.08	171.17	165.0
1330.77	1817.86	135.16
277.38	289.8	184.22
415.63	492.8	333.92
149.4	145.32	157.55
268.02	473.12	158.63
172.4	105.5	272.75
1763.38	2026.54	623.0
673.39	701.74	526.92
126.81	127.22	124.87
180.88	193.19	159.53
67.41	65.0	70.63
257.78	345.0	214.17
59.88	67.38	52.38
1239.92	611.8	3607.46
190.56	180.0	195.25
332.31	250.95	397.4
227.05	165.45	391.33
216.63	278.13	109.0
244.31	193.0	269.97
165.12	187.2	128.33
397.66	415.66	379.67
345.15	373.78	202.0
79.96	58.22	145.2
1355.52	1525.0	465.75
209.53	69.45	321.6
199.68	239.47	159.88
902.4	972.91	708.5
58.46	31.81	120.67
109.12	108.0	111.75
112.63	114.37	110.22
218.44	237.39	180.55
157.18	213.62	81.91
829.25	975.14	382.44
236.18	245.25	212.0
130.95	134.65	115.25
189.72	114.2	340.75
122.15	123.06	121.35
203.67	196.6	212.5
2093.87	3056.5	168.6
211.5	119.1	254.99
396.53	399.6	385.0
164.26	25.0	373.15
