new_user_id	all_avg_price	first_seven_avg_price	last_three_avg_price
0	134.21	155.32	56.83
1	180.52	167.39	192.45
2	172.86	206.88	118.44
3	130.29	159.25	91.67
4	196.50	261.67	131.33
5	188.78	173.78	281.30
6	89.03	85.34	105.30
7	136.53	126.62	176.17
8	86.95	58.35	128.25
9	201.33	181.67	211.17
10	351.70	404.67	272.25
11	196.23	83.70	365.03
12	64.15	58.64	78.33
13	651.98	781.78	219.33
14	49.93	53.13	46.27
15	3860.01	4248.10	2437.00
16	206.74	224.62	155.11
17	120.45	131.33	85.98
18	575.52	873.87	120.88
19	93.72	98.84	70.67
20	271.00	286.30	240.40
21	174.03	131.94	223.13
22	900.21	1064.91	296.33
23	109.61	80.83	148.00
24	293.22	236.79	352.78
25	256.15	230.75	294.25
26	194.55	159.03	336.67
27	204.92	150.53	354.50
28	479.11	266.00	905.33
29	220.65	227.83	203.40
30	78.08	80.84	73.18
31	214.12	211.49	217.80
32	291.91	237.09	415.25
33	146.79	89.00	190.12
34	240.00	223.82	284.50
35	189.54	177.30	230.33
36	148.52	33.45	214.27
37	168.88	193.27	158.43
38	79.39	77.73	84.97
39	235.45	261.88	163.71
40	83.44	79.97	92.67
41	108.07	106.24	123.33
42	1497.76	1254.19	1996.48
43	144.00	163.35	79.49
44	150.44	148.58	156.50
45	463.00	451.33	474.67
46	478.94	286.40	719.62
47	53.56	63.45	45.65
48	269.47	280.06	239.47
49	53.92	37.34	92.60
50	779.62	366.53	1493.14
51	283.36	296.29	191.00
52	1139.18	285.80	5771.80
53	862.67	863.14	861.14
54	292.09	292.25	291.67
55	114.57	129.75	94.33
56	2062.80	2341.08	1033.16
57	1001.79	1221.39	167.31
58	263.61	282.25	226.33
59	459.17	524.67	328.17
60	290.73	302.74	263.29
61	504.88	304.33	625.20
62	263.37	262.89	268.33
63	368.90	223.93	683.00
64	510.14	333.25	746.00
65	76.00	69.33	82.67
66	268.39	211.84	400.33
67	883.13	833.41	1145.93
68	121.46	123.92	117.08
69	234.17	229.87	251.36
70	240.96	247.14	227.22
71	85.93	61.27	108.83
72	655.17	1165.33	145.00
73	98.48	110.00	81.20
74	196.09	272.23	94.57
75	306.51	284.24	327.47
76	72.12	73.60	64.47
77	220.27	208.43	241.00
78	89.18	87.73	104.13
79	3626.00	1683.86	4861.91
